,PLAYER_ID,PLAYER_NAME,TEAM_ID,Team,Age,Season,FGM,FGA,FG%,Distance
291,1626157,Karl-Anthony Towns,1610612750,MIN,27.0,2022-23,89,122,0.73,0
292,202695,Kawhi Leonard,1610612746,LAC,31.0,2022-23,110,167,0.659,0
293,1631099,Keegan Murray,1610612758,SAC,22.0,2022-23,110,188,0.585,0
294,1628966,Keita Bates-Diop,1610612759,SAS,27.0,2022-23,149,222,0.671,0
295,1629640,Keldon Johnson,1610612759,SAS,23.0,2022-23,260,428,0.607,0
296,203482,Kelly Olynyk,1610612762,UTA,32.0,2022-23,134,194,0.691,0
297,1626162,Kelly Oubre Jr.,1610612766,CHA,27.0,2022-23,158,276,0.572,0
298,202689,Kemba Walker,1610612742,DAL,32.0,2022-23,8,13,0.615,0
299,1631112,Kendall Brown,1610612754,IND,19.0,2022-23,3,5,0.6,0
300,1629134,Kendrick Nunn,1610612764,WAS,27.0,2022-23,54,91,0.593,0
301,1631113,Kennedy Chandler,1610612763,MEM,20.0,2022-23,23,42,0.548,0
302,1631254,Kenneth Lofton Jr.,1610612763,MEM,20.0,2022-23,37,50,0.74,0
303,1629026,Kenrich Williams,1610612760,OKC,28.0,2022-23,95,137,0.693,0
304,203484,Kentavious Caldwell-Pope,1610612743,DEN,30.0,2022-23,80,139,0.576,0
305,1630231,Kenyon Martin Jr.,1610612745,HOU,22.0,2022-23,315,427,0.738,0
306,1631165,Keon Ellis,1610612758,SAC,23.0,2022-23,0,0,0.0,0
307,1630553,Keon Johnson,1610612757,POR,21.0,2022-23,28,47,0.596,0
308,1630556,Kessler Edwards,1610612758,SAC,22.0,2022-23,16,25,0.64,0
309,201142,Kevin Durant,1610612756,PHX,34.0,2022-23,89,115,0.774,0
310,1628989,Kevin Huerter,1610612758,SAC,24.0,2022-23,116,161,0.72,0
311,1628995,Kevin Knox II,1610612757,POR,23.0,2022-23,64,94,0.681,0
312,201567,Kevin Love,1610612748,MIA,34.0,2022-23,35,57,0.614,0
313,1629645,Kevin Porter Jr.,1610612745,HOU,22.0,2022-23,138,233,0.592,0
314,1630284,Kevon Harris,1610612753,ORL,25.0,2022-23,29,54,0.537,0
315,1626172,Kevon Looney,1610612744,GSW,27.0,2022-23,208,307,0.678,0
316,203920,Khem Birch,1610612759,SAS,30.0,2022-23,13,16,0.813,0
317,203114,Khris Middleton,1610612749,MIL,31.0,2022-23,45,72,0.625,0
318,1630165,Killian Hayes,1610612765,DET,21.0,2022-23,58,110,0.527,0
319,1630184,Kira Lewis Jr.,1610612740,NOP,22.0,2022-23,15,30,0.5,0
320,202691,Klay Thompson,1610612744,GSW,33.0,2022-23,100,153,0.654,0
321,1628424,Kobi Simmons,1610612766,CHA,25.0,2022-23,0,1,0.0,0
